index,judul_berita
189,"Pelepasan KKN, Rektor: Modifikasi Perlu Dilakukan pada KKN di Era Pandemi"
190,"Bangga, Mahasiswa FEB UNAIR Raih Juara 3 Kompetisi Cerdas Investasi"
191,Persiapkan Lebih Awal untuk Lanjut Program Master di Luar Negeri
192,"Makaseeh.rek, Makaroni Tanpa MSG dan Gluten Buatan Mahasiswa UNAIR"
193,Mesin Pemisah Duri Ikan Karya FPK UNAIR Bantu UMKM Tingkatkan Produksi
194,"Gandeng BPJS Kesehatan, DPKKA Manfaatkan Gen Y dan Z Perkuat SDM"
195,UNAIR Seleksi 12 UMKM yang Akan Isi Kantin Kampus Dharmahusada B
196,Semarak Pendekar 2022 Dorong Prestasi dan Inovasi Maba FST UNAIR
197,Jalur Rempah Surabaya Antarkan Mahasiswa UNAIR Sabet Juara 1 Video Pendek Nasional
198,Psikolog UNAIR: Kenali Penanganan Post Trauma pada Korban Kanjuruhan
199,FKH UNAIR Sukses Gelar Dua Konferensi Internasional untuk Kedua Kalinya
200,UNAIR Jalin Kerja Sama dengan BSSN Terapkan Sertifikat Elektronik
201,Mahasiswa UNAIR Raih Juara 1 Youth Sharia Sociopreneurship Competition 2022
202,Guru Besar Psikologi UNAIR Bahas Tips Sembuhkan Trauma Perselingkuhan
203,Mawapres 2 UNAIR 2022 Sabet Juara I Kompetisi Esai Ilmiah Kedokteran Tingkat Nasional
204,UNAIR Siap Jadi Tuan Rumah Forum Rektor Indonesia 2022
205,"Penutupan Kita Sama, BEM UNAIR Usung Kesetaraan Tingkatkan Kepercayaan Diri"
206,Raih Pendanaan Berkat Usaha Tingkatkan Nilai Ekonomi Minyak Serai Wangi
207,Tim Pengmas D4 Pariwisata UNAIR Gelar Program Pembangunan Wisata Edukasi Sableng Etawa Farm
208,Mahasiswa FKp UNAIR Lakukan Social Support dalam Peringatan Hari Kesehatan Jiwa
209,"Talkshow Inspiratif, Ajak Mahasiswa Studi ke Luar Negeri"
210,Inovasi Bisnis Telur Bebek Rendah Kolesterol dan Bau Amis Antarkan Mahasiswa UNAIR Lolos Pendanaan P2MW DIKTI
211,"Sukses Bongkar Kasus Pemalsuan Website, Dua Mahasiswa Sekolah Pascasarjana UNAIR Jadi Pembicara di FBI Amerika Serikat"
212,Simak Beberapa Cara Meningkatkan Positive Well-Being
213,Tinjau Tragedi Kanjuruhan dari Segi SDM : Pemimpin Harus Mawas Diri
214,RS UNAIR Terbitkan Buku Covid-19 Edisi IV soal Asimtomatik
215,UNAIR Resmikan Ikatan Alumni Cabang Inggris Raya
216,"Persiapkan Karir Masa Depan, DPKKA UNAIR Gandeng Bank Muamalat dalam Workshop AOCF"
217,Menelisik Kiprah AnterAja Arungi Persaingan Jasa Antar Barang & Jasa
218,Rektor UNAIR Sebut Kontribusi Guru Besar Dinilai Penting Memecahkan Persoalan Bangsa
219,Luar Biasa ! UNAIR Akan Produksi Massal Artemia dan Garam Secara Bersamaan
220,"Polemik ODOL, Pakar Kebijakan Publik UNAIR Minta Reformasi Birokrasi Pengujian Kendaraan"
221,Mengintip Transformasi Digital dan Aplikasi Finansial ala Bank Mandiri
222,Mega Persada Group Tawarkan Sembilan Bidang Lowongan Kerja dalam AOCF ke-35
223,Telisik Kondisi Transisi EBT di Indonesia dari Kacamata Pakar Hukum Energi UNAIR
224,"Pelajari Budaya, Mahasiswa dari 19 Negara Siap Ikuti Perkuliahan Internasional FIB UNAIR"
225,Cerita Mahasiswa Radiologi UNAIR Lolos Program AMATI Indonesia di Maluku
226,Mahasiswa FTMM UNAIR Kembali Ukir Prestasi Internasional
227,Epidemolog UNAIR: Penghapusan Tes Swab Lebih Baik Ditunda
228,Pentingnya Deteksi Dini Hipotiroid Kongenital pada Anak
229,"Penyaluran Aspirasi Anggota, AUBMO Gelar Meet Up Anggota 1"
230,"Konflik Ukraina-Rusia, Pakar Hubungan Internasional Sebut Sanksi Terhadap Rusia Masih Unilateral"
231,Pakar Politik UNAIR Menilai Penundaan Pemilu Melanggar Konstitusi
232,"Fatal, Covid-19 pada Komorbid Ginjal"
233,Vascular Indonesia Karya Dosen UNAIR Hadir di Aplikasi PeduliLindungi
234,LPM Mercusuar UNAIR Gelar Pelatihan Dasar Menulis Berita
235,"Maksimalkan Kontribusi, Rektor UNAIR Mantap Resmikan SDGs Center"
236,"Wisuda Maret, Rektor UNAIR: Wisudawan Harus Memiliki Optimisme Tinggi dalam Belajar"
237,Rektor UNAIR Umumkan Lima Siswa Penerima Golden Ticket AEE 2022
238,Dosen Psikologi UNAIR Berikan Kiat Bangun Konsep Diri yang Positif
239,Peningkatan Literasi Solusi Tragedi Kanjuruhan Tak Terulang Kembali
240,Mengenal Emosi dan Social Identity Melalui Tragedi Kanjuruhan
241,"Buat Konten Prank ke Kepolisian, Pakar Hukum UNAIR: Tindakan Tidak Menghormati Fungsi Hukum"
242,Karper 2022 Tekankan Budaya Solidaritas antar Mahasiswa Perikanan
243,"Dugaan KDRT dan Perselingkuhan oleh Tokoh Publik, Pakar UNAIR: Persiapkan 9 Hal Sebelum Menikah"
244,"Implementasi Solidaritas Arek Perikanan, Karper 2022 Usung Konsep Berbeda"
245,"Kaji Peran Food Bank, Tim Lumbung Asa UNAIR Raih Juara 1 LKTI Tingkat Nasional"
246,UKM Kependudukan UNAIR Lakukan Gerakan Peduli Lingukungan Tanam Bibit Mangrove di Pesisir
247,Tiga Mahasiswa UNAIR Raih Juara I Lomba Debat Kesehatan
248,FPSi UNAIR Gambarkan Kehidupan Mahasiswa Psikologi dalam DEPSYPHER 2022
249,"UNAIR Gelar Airlangga Forum 102, Kaji Tragedi Kanjuruhan"
250,"Sambut Mahasiswa Studi di UK, IKA UNAIR Berikan Tips Sukses Kuliah di UK"
251,Pakar UNAIR Tanggapi Tragedi Kanjuruhan dalam Perspektif Manajemen Risiko
252,First Impression Jadi Kunci Lolos Interview Kerja dan Magang
253,Pakar Paru FK UNAIR: Gas Air Mata Bersifat Iritatif dan Inflamatif
254,Inovasi Incredible Floaties Antarkan Diajeng Lolos Pendanaan Belmawa
255,"Peringati Bulan Bahasa, HMD Sasindo Gelar PESTRA 2022"
256,"Kritisi PLTA Poso, Tiga Mahasiswa HI UNAIR Sabet Juara Dua Lomba Karya Tulis HAM Internasional"
257,Mahasiswa FISIP UNAIR Sabet Juara I Lomba Esai Nasional Bertema Ekonomi
258,FKM UNAIR Atasi Masalah Balita Wasting di Kecamatan Bulak
259,UNAIR Ajak Mahasiswa Kenali Lebih Dalam Program Kampus Merdeka
260,"Soroti Tragedi Kanjuruhan, Airlangga Forum Ulas Urgensi Sportivitas dan Mindset Suporter"
261,"Dukung SDGs 3 dan 4, DWP Vokasi UNAIR Adakan Workshop Pijat Bayi"
262,Kiat Peraih Medali Emas PIMNAS 34 dalam Siasati PKM-K Hingga Lolos Pendanaan
263,Pahami Pentingnya Kegiatan Magang Bagi Mahasiswa
264,Nutrifood Ajak Mahasiswa Pandai Mengelola Financial Management
265,"Mengenal Egg Freezing, Berikut Penjelasannya"
266,"Jelang PKM, Garuda Sakti SIKIA UNAIR Gelar Pelatihan Bagi Pengurus GS"
267,AUBMO SIKIA UNAIR Bangun Harmonisasi Pengurus Melalui Upgrading
268,Mempersiapkan Dunia Kerja melalui Webinar DPKKA UNAIR
269,Antropolog UNAIR: Ritual Kendi Nusantara di IKN sebagai Perwujudan Tiga Simbol
270,Ingin Berkarir di Bank Indonesia? Catat 5 Kriterianya!
271,Blak-Blakan L’ORÉAL Beberkan Tiga Platform Berkarir di Perusahaan Multinasional
272,Alumnus UNAIR Beberkan Persiapan Memasuki Dunia Kerja
273,HRLS UNAIR Bedah Jalan Terjal Penyelesaian Kasus Pelanggaran HAM Berat di Indonesia
274,Perpustakaan UNAIR Berikan Sosialisasi Program pada Dosen dan Mahasiswa
275,Tips Membuat CV dan Kiat Interview agar Dilirik HRD
276,Mahasiswa UNAIR Raih Best Presentation International Jakarta Economic Forum 2022
277,Integrasi Industri Jadi Solusi Kesejahteraan Peternak Sapi Perah
278,"Dies Natalis Ke-24, Ilmu Sejarah Bedah Buku Indonesia di Mata Australia"
279,Pustakawan UNAIR Bagikan Teknik Penelusuran eResources Bidang Sosial Humaniora
280,“HUT 48 Tahun” PPNI Gandeng FKp UNAIR Gelar Pelatihan BHD untuk Relawan
281,Antropolog UNAIR: Ritual Kendi Nusantara Bukan Persoalan Klenik
282,FH UNAIR Jajaki Kerja Sama Bidang Pendidikan dan Riset dengan Badan Diklat Kejaksaan RI
283,"Sigit Dani, Mahasiswa FTMM UNAIR yang Suka Bikin Robot"
284,UNAIR Latih Dosen dan Mahasiswa Tingkatkan Publikasi dan Penelitian
285,FEB UNAIR dan OJK Institute Jalin Kerja Sama Dukung MBKM
286,Kita Semua Bertanggung Jawab Memperkuat Kebhinekaan Indonesia
287,"Memperkuat Kebhinekaan Lewat Pancasila, Komunikasi, dan Seni Budaya"
288,5 Point Penting Capai SDGs 2030
289,"Peduli Diabetes, Mahasiswa FIB UNAIR Raih Juara 3 di  LPII FEB Universitas Riau"
290,"Ulitha Hijab Nusantara, Inovasi Fesyen Muslim Besutan Mahasiswa UNAIR"
291,BEM FH UNAIR Gelar Bincang Prospek Karir untuk Mahasiswa Hukum
292,Perpustakaan UNAIR Dukung Penguatan Layanan Perpustakaan Digital
293,Hiring Management Trainee! CP Prima Gandeng UNAIR Adakan Campus Roadshow
294,Simak Tips Raih Beasiswa Studi Lanjut ke Taiwan dalam Gelaran THEF 2022
295,Benarkah Ayah Perokok Aktif Bisa Sebabkan Balita Bronkitis?
296,Apa yang Harus Dilakukan Jika Ibu Hamil Terpapar Monkeypox?
297,"Gagas Aplikasi Peduli Tunanetra, Tim UNAIR Raih Juara I Business Plan Competition"
298,IKA UNAIR Lumajang Adakan Bakti Sosial di Kawasan Rawan Bencana
299,Sekolah Pascasarjana UNAIR Gelar Workshop Langkah Mudah Cara Akses E-resource Journal
300,"Usung Wayang Cepot, Mahasiswa FIB Raih Harapan 1 LKTIN Sriwijaya"
301,"Mau Sukses Berkarir Usai Lulus Kuliah, Simak 5 Tips Berikut"
